file,raw_response,question,option_A,option_B,option_C,option_D,option_E
3015_CHARLIE_ST_CLOUD/segment_0003.mp4,"Question:
As the camera moves into an aerial view of the clearing, what specific object is visible on the ground near the man in the suit?

A. A white baseball
B. A red baseball glove
C. A yellow raincoat
D. A black suitcase
E. A wooden baseball bat

Correct Answer: B

Rationale:
In the target scene, during the high-angle shot of the forest clearing, a red baseball glove is seen lying on the ground directly in front of the kneeling man.","As the camera moves into an aerial view of the clearing, what specific object is visible on the ground near the man in the suit?",A white baseball,A red baseball glove,A yellow raincoat,A black suitcase,A wooden baseball bat
3015_CHARLIE_ST_CLOUD/segment_0014.mp4,"Question:
What type of vessel is the woman operating when the man locates her?

A. A paddleboard
B. A sailboat
C. A rowboat
D. A motorboat
E. A canoe

Correct Answer: B

Rationale: After the man follows the clue on the note he found, he looks out at the water and sees the woman sitting on a sailboat with a red-and-white sail as it approaches the shore.",What type of vessel is the woman operating when the man locates her?,A paddleboard,A sailboat,A rowboat,A motorboat,A canoe
3015_CHARLIE_ST_CLOUD/segment_0024.mp4,"Question:
After the boy in the red jacket is seen in the forest, what does he do while the man is crouching on the path?

A. He stands behind the man and looks at the trees.
B. He sits down on the ground next to the man.
C. He runs away from the man into the dense woods.
D. He picks up a rock and throws it into the brush.
E. He remains standing and waits for the man to get up.

Correct Answer: B

Rationale: In the target scene, the boy walks toward the man who is already crouching and then lowers himself to sit on the ground beside him.","After the boy in the red jacket is seen in the forest, what does he do while the man is crouching on the path?",He stands behind the man and looks at the trees.,He sits down on the ground next to the man.,He runs away from the man into the dense woods.,He picks up a rock and throws it into the brush.,He remains standing and waits for the man to get up.
3015_CHARLIE_ST_CLOUD/segment_0002.mp4,"Question:
Which item, seen held by the man in the suit while he was standing with the crowd, is he still carrying as he runs through the woods?

A. A white floral bouquet
B. A small wooden cross
C. A brown baseball glove
D. A black handheld umbrella
E. A folded piece of paper

Correct Answer: C

Rationale:
In the target scene, the man is clearly shown running through the forest while clutching a brown leather baseball glove in his right hand. This is the same object he was holding earlier in the context while standing with the crowd at the cemetery.","Which item, seen held by the man in the suit while he was standing with the crowd, is he still carrying as he runs through the woods?",A white floral bouquet,A small wooden cross,A brown baseball glove,A black handheld umbrella,A folded piece of paper
3015_CHARLIE_ST_CLOUD/segment_0023.mp4,"Question:
What is the appearance of the man's face while he is standing on the dock talking to the woman?

A. He has white strips on his forehead and a bruised eye.
B. He has a large bandage covering his left eye.
C. He has no visible injuries or bandages.
D. He has a vertical scar running down his cheek.
E. He is wearing a small cast over the bridge of his nose.

Correct Answer: C

Rationale:
During the close-up shots of the man talking on the dock, his face is clearly shown to be free of the medical adhesive strips and the dark bruising that were present during his time in the hospital.",What is the appearance of the man's face while he is standing on the dock talking to the woman?,He has white strips on his forehead and a bruised eye.,He has a large bandage covering his left eye.,He has no visible injuries or bandages.,He has a vertical scar running down his cheek.,He is wearing a small cast over the bridge of his nose.
3015_CHARLIE_ST_CLOUD/segment_0013.mp4,"Question:
As the woman walks away from the man into the darkness, what distinct silhouette is visible in the background?

A. A tall stone obelisk
B. A statue of an angel with spread wings
C. A person standing under a tree
D. A stone cross on a pedestal
E. A wrought iron fence

Correct Answer: B

Rationale:
After the characters interact and the woman begins to walk away, a large statue of an angel with its wings spread is clearly visible in the foggy background of the cemetery.","As the woman walks away from the man into the darkness, what distinct silhouette is visible in the background?",A tall stone obelisk,A statue of an angel with spread wings,A person standing under a tree,A stone cross on a pedestal,A wrought iron fence
3015_CHARLIE_ST_CLOUD/segment_0022.mp4,"Question:
In the final moments of the video, what is the man wearing that he was not wearing during the earlier scenes on the dark rocks?

A. A bright red life vest
B. A dark, heavy coat or blanket
C. A pair of glasses
D. A white hospital gown
E. A yellow raincoat

Correct Answer: B

Rationale:
In the target scene, the man is shown sitting inside a vehicle with a dark, thick garment or blanket draped over his shoulders. This is a visible change from the context, where he was shown shirtless while navigating the dark, rocky cave.","In the final moments of the video, what is the man wearing that he was not wearing during the earlier scenes on the dark rocks?",A bright red life vest,"A dark, heavy coat or blanket",A pair of glasses,A white hospital gown,A yellow raincoat
3015_CHARLIE_ST_CLOUD/segment_0008.mp4,"Question:
Where is the woman who was earlier seen in a bar located when she surprises the man on the sailboat?

A. On the wooden dock next to the boat
B. On the deck of the sailboat
C. Inside the cabin looking out a window
D. In a car parked on the nearby road
E. Standing on the roof of the boat's cabin

Correct Answer: B

Rationale:
The woman is shown standing on the deck of the sailboat, positioned behind the man as he pulls on the rigging. Her presence on the boat is confirmed when she leans against the railing and speaks to him.",Where is the woman who was earlier seen in a bar located when she surprises the man on the sailboat?,On the wooden dock next to the boat,On the deck of the sailboat,Inside the cabin looking out a window,In a car parked on the nearby road,Standing on the roof of the boat's cabin
3015_CHARLIE_ST_CLOUD/segment_0001.mp4,"Question:
After the collision, what is the orientation of the silver car that the two characters were traveling in?

A. It is parked upright on the shoulder of the road.
B. It is balanced on its side against a red truck.
C. It is resting upside down on its roof.
D. It is crushed underneath the front of an ambulance.
E. It is partially submerged in the water under a pier.

Correct Answer: C

Rationale:
In the final sequence of the video, the silver car is shown lying completely overturned on the asphalt with its wheels facing upward and smoke rising from the chassis.","After the collision, what is the orientation of the silver car that the two characters were traveling in?",It is parked upright on the shoulder of the road.,It is balanced on its side against a red truck.,It is resting upside down on its roof.,It is crushed underneath the front of an ambulance.,It is partially submerged in the water under a pier.
3015_CHARLIE_ST_CLOUD/segment_0016.mp4,"Question:
In the latter part of the video, who is the yellow dog seen walking behind on the sidewalk?

A. The woman wearing a denim jacket
B. A woman wearing a green hooded sweater
C. A man wearing a brown uniform and a hat
D. The man who was shown drinking from a white cup
E. A man carrying a newspaper under his arm

Correct Answer: B

Rationale:
The yellow dog is shown walking along the sidewalk directly behind a woman wearing a green hooded sweater who is carrying shopping bags. The woman in the denim jacket, who was with the dog in the earlier part of the video, is shown watching them from a distance.","In the latter part of the video, who is the yellow dog seen walking behind on the sidewalk?",The woman wearing a denim jacket,A woman wearing a green hooded sweater,A man wearing a brown uniform and a hat,The man who was shown drinking from a white cup,A man carrying a newspaper under his arm
3015_CHARLIE_ST_CLOUD/segment_0017.mp4,"Question:
After the scene at the cemetery, the man enters a room and begins tearing objects off the wall. What type of document, reflecting the maritime theme established by the boat seen earlier, does he pull down?

A. A world map
B. A nautical chart
C. An architectural blueprint
D. A movie poster
E. A financial spreadsheet

Correct Answer: B

Rationale:
In the target scene, the man is shown aggressively pulling a large nautical chart off the wall. This object relates to the boat shown in the shed during the context portion of the video, which established the maritime theme.","After the scene at the cemetery, the man enters a room and begins tearing objects off the wall. What type of document, reflecting the maritime theme established by the boat seen earlier, does he pull down?",A world map,A nautical chart,An architectural blueprint,A movie poster,A financial spreadsheet
3034_IDES_OF_MARCH/segment_0004.mp4,"Question:
In the bedroom following the bar scene, what is the pattern of the blazer that the woman puts on?

A. Solid black
B. Plaid
C. Floral
D. Polka dot
E. Camouflage

Correct Answer: B

Rationale:
In the target scene, the woman is shown putting on a plaid (checkered) blazer, which is a change from the solid black jacket she wore during the initial meeting at the bar.","In the bedroom following the bar scene, what is the pattern of the blazer that the woman puts on?",Solid black,Plaid,Floral,Polka dot,Camouflage
3034_IDES_OF_MARCH/segment_0021.mp4,"Question:
Where is the man who was shown on the television news report positioned during the funeral service?

A. He is the person speaking at the podium.
B. He is standing at the back of the church.
C. He is seated in the front row of the audience.
D. He is standing outside by the black limousines.
E. He is sitting in the choir loft.

Correct Answer: C

Rationale:
During a wide shot of the mourners gathered in the church, the man who was previously featured in the news segment is visible sitting in the front row of the pews on the right side of the screen.",Where is the man who was shown on the television news report positioned during the funeral service?,He is the person speaking at the podium.,He is standing at the back of the church.,He is seated in the front row of the audience.,He is standing outside by the black limousines.,He is sitting in the choir loft.
3034_IDES_OF_MARCH/segment_0018.mp4,"Question:
After the man who was previously seen sitting on a bench by the river hangs up his phone, what does he do?

A. He approaches the man speaking at the podium.
B. He walks alone down a city street at night.
C. He takes a seat in the front row of the audience.
D. He begins to argue with a police officer.
E. He shakes hands with the man wearing glasses.

Correct Answer: B

Rationale:
In the target scene, after the man from the bench is shown finishing a phone call at the back of the press conference, he is then seen walking by himself along a city sidewalk at night.","After the man who was previously seen sitting on a bench by the river hangs up his phone, what does he do?",He approaches the man speaking at the podium.,He walks alone down a city street at night.,He takes a seat in the front row of the audience.,He begins to argue with a police officer.,He shakes hands with the man wearing glasses.
3034_IDES_OF_MARCH/segment_0010.mp4,"Question:
What does the person behind the counter hand to the man inside the building he entered?

A. A folded note
B. A stack of cash
C. A laptop computer
D. A campaign poster
E. A business card

Correct Answer: B

Rationale:
In the target scene, which takes place inside the building labeled ""Stock Yards Bank & Trust"" from the context, a woman behind a desk slides a stack of paper currency across the counter to the man, who then collects it.",What does the person behind the counter hand to the man inside the building he entered?,A folded note,A stack of cash,A laptop computer,A campaign poster,A business card
3034_IDES_OF_MARCH/segment_0009.mp4,"Question:
After sitting in the glass-walled office, what action does the man take to get the attention of the woman who was previously seen working at a desk?

A. He walks out of the office and approaches her desk.
B. He picks up a desk phone to call her.
C. He taps on the glass window of the office.
D. He waves his arms while standing in the doorway.
E. He throws a folder onto the floor.

Correct Answer: C

Rationale:
The man is shown standing up from his chair and using his hand to tap on the glass partition of the office to signal the woman sitting at the desk outside.","After sitting in the glass-walled office, what action does the man take to get the attention of the woman who was previously seen working at a desk?",He walks out of the office and approaches her desk.,He picks up a desk phone to call her.,He taps on the glass window of the office.,He waves his arms while standing in the doorway.,He throws a folder onto the floor.
3034_IDES_OF_MARCH/segment_0006.mp4,"Question:
A bus marked with the campaign name from the venue seen earlier is shown traveling at night. What specific phrase is visible at the very top of its rear panel?

A. VOTE MORRIS
B. I LIKE MIKE
C. STAND TOGETHER
D. ELECTMORRIS.COM
E. MORRIS FOR PRESIDENT

Correct Answer: B

Rationale:
In the target scene, as the bus drives through the city at night, the slogan ""I LIKE MIKE"" is clearly visible on the top portion of its rear panel, above the window. The campaign identity is confirmed by the ""MORRIS for President"" text visible on the side and lower rear of the same vehicle.",A bus marked with the campaign name from the venue seen earlier is shown traveling at night. What specific phrase is visible at the very top of its rear panel?,VOTE MORRIS,I LIKE MIKE,STAND TOGETHER,ELECTMORRIS.COM,MORRIS FOR PRESIDENT
3034_IDES_OF_MARCH/segment_0012.mp4,"Question:
After sitting together in the waiting area of the building they arrived at together, what does the man do immediately before getting up and leaving?

A. He hands the woman a mobile phone.
B. He picks up a magazine from a side table.
C. He leans over and kisses the woman on the forehead.
D. He shakes the woman's hand firmly.
E. He takes a piece of paper from his pocket and gives it to her.

Correct Answer: C

Rationale:
While sitting in the waiting area chairs, the man leans in close to the woman and kisses her on the forehead before standing up and exiting the frame.","After sitting together in the waiting area of the building they arrived at together, what does the man do immediately before getting up and leaving?",He hands the woman a mobile phone.,He picks up a magazine from a side table.,He leans over and kisses the woman on the forehead.,He shakes the woman's hand firmly.,He takes a piece of paper from his pocket and gives it to her.
3034_IDES_OF_MARCH/segment_0003.mp4,"Question:
What is handed to the man who was seen talking on a cell phone in the campaign office and outside a bar?

A. A makeup kit
B. A glass of water
C. A stack of papers
D. A laptop computer
E. A mobile phone

Correct Answer: C

Rationale:
In the final section of the video, a man in a suit walks by and hands a stack of papers to the man sitting on the couch. This man on the couch is the same character shown making phone calls throughout the earlier scenes in the office and outside the bar.",What is handed to the man who was seen talking on a cell phone in the campaign office and outside a bar?,A makeup kit,A glass of water,A stack of papers,A laptop computer,A mobile phone
3034_IDES_OF_MARCH/segment_0019.mp4,"Question:
What is stacked on the shelves behind the man who was standing in the back of the room as the other man approached him?

A. White ceramic mugs
B. Large stainless steel pots
C. Clear plastic pitchers
D. Brown storage crates
E. Glass bottles of liquid

Correct Answer: C

Rationale:
In the target scene, the man who was waiting is shown standing in front of shelving units containing several rows of stacked clear plastic pitchers. While the other items listed as options are visible in the kitchen area during the preceding walkthrough, they are not the objects positioned directly behind him during the conversation.",What is stacked on the shelves behind the man who was standing in the back of the room as the other man approached him?,White ceramic mugs,Large stainless steel pots,Clear plastic pitchers,Brown storage crates,Glass bottles of liquid
3034_IDES_OF_MARCH/segment_0014.mp4,"Question:
Where is the woman seen sitting after she leaves the building where she was shown receiving medication?

A. In the driver's seat of a car
B. In a booth at a diner
C. On a bench in a park
D. At a table in a library
E. On a chair in a different waiting room

Correct Answer: B

Rationale:
In the target scene, the woman is shown walking past the clinic sign and then sitting alone in a booth inside a diner, looking out the window at the street.",Where is the woman seen sitting after she leaves the building where she was shown receiving medication?,In the driver's seat of a car,In a booth at a diner,On a bench in a park,At a table in a library,On a chair in a different waiting room
3034_IDES_OF_MARCH/segment_0024.mp4,"Question:
What is tucked behind the man's left ear and visible when he turns his head toward his right shoulder?

A. A white strip of tape
B. A small black microphone
C. A coiled transparent cord
D. A silver metallic earring
E. A pair of reading glasses

Correct Answer: C

Rationale:
In the target scene, when the man turns his head to look over his right shoulder, a coiled transparent cord is visible running from behind his ear and disappearing into his collar. This matches the device shown being placed on him earlier in the video.",What is tucked behind the man's left ear and visible when he turns his head toward his right shoulder?,A white strip of tape,A small black microphone,A coiled transparent cord,A silver metallic earring,A pair of reading glasses
3034_IDES_OF_MARCH/segment_0023.mp4,"Question:
What item of clothing is the man wearing as he walks down a hallway and meets a woman, which he was previously shown putting on in a media room?

A. A red tie
B. A dark suit jacket
C. A pair of glasses
D. A white shirt
E. A police uniform

Correct Answer: B

Rationale:
In the target scene, the man is wearing a dark-colored suit jacket over his shirt and tie as he walks through the hallway. He was previously shown putting this jacket on in the media room filled with television monitors.","What item of clothing is the man wearing as he walks down a hallway and meets a woman, which he was previously shown putting on in a media room?",A red tie,A dark suit jacket,A pair of glasses,A white shirt,A police uniform
3034_IDES_OF_MARCH/segment_0022.mp4,"Question:
As a woman carrying a tray of drinks walks through a hallway, she passes large posters on the wall. Which person is depicted on these posters?

A. The man who approaches the microphones to speak at the political rally.
B. The man who was seen smoking a cigarette on the lawn outside a church.
C. The man seen sitting in a church pew wearing a suit and a blue tie.
D. The man who was giving a eulogy behind a podium in a church.
E. The man who was walking through a parking lot wearing a brown parka.

Correct Answer: A

Rationale:
In the target scene, the woman walks through a hallway lined with large posters of the man who is introduced as the candidate at the rally and approaches the microphones. This same man is shown on stage during the rally's introduction and is distinct from the other men introduced during the funeral and its aftermath in the context.","As a woman carrying a tray of drinks walks through a hallway, she passes large posters on the wall. Which person is depicted on these posters?",The man who approaches the microphones to speak at the political rally.,The man who was seen smoking a cigarette on the lawn outside a church.,The man seen sitting in a church pew wearing a suit and a blue tie.,The man who was giving a eulogy behind a podium in a church.,The man who was walking through a parking lot wearing a brown parka.
3034_IDES_OF_MARCH/segment_0008.mp4,"Question:
In the target scene, what is the woman who was previously seen sleeping in the bed now doing?

A. She is walking out of the room with a suitcase.
B. She is sitting up in bed wearing a white shirt and looking at the man.
C. She is still asleep under the blankets.
D. She is sitting at the table drinking from a glass.
E. She is standing next to the man and trying to grab the phone.

Correct Answer: B

Rationale:
In the target scene, the woman is seen sitting upright in the bed, dressed in a white button-down shirt, while observing the man as he talks on the phone.","In the target scene, what is the woman who was previously seen sleeping in the bed now doing?",She is walking out of the room with a suitcase.,She is sitting up in bed wearing a white shirt and looking at the man.,She is still asleep under the blankets.,She is sitting at the table drinking from a glass.,She is standing next to the man and trying to grab the phone.
3034_IDES_OF_MARCH/segment_0001.mp4,"Question:
What is the name of the establishment that the man with glasses and the woman, previously seen sitting at a table, are exiting?

A. OHIO for MORRIS
B. SOUTH & VINE
C. PORKOPOLIS
D. MORRIS for President
E. VINE STREET

Correct Answer: B

Rationale:
In the target scene, the man with glasses and the woman walk out of a building with a large illuminated sign above the entrance that reads ""SOUTH & VINE"". This exterior shot follows the context where they were shown sitting inside the same establishment.","What is the name of the establishment that the man with glasses and the woman, previously seen sitting at a table, are exiting?",OHIO for MORRIS,SOUTH & VINE,PORKOPOLIS,MORRIS for President,VINE STREET
3034_IDES_OF_MARCH/segment_0016.mp4,"Question:
After the man leaves the room and the building shown in the context, he is seen standing in a different outdoor location. What large structure is visible in the background across the body of water?

A. A Ferris wheel
B. An illuminated arched bridge
C. A tall clock tower
D. A lighthouse
E. A large sports stadium

Correct Answer: B

Rationale:
In the target scene, specifically around 01:15 and 01:21, a large bridge with prominent glowing arches and lights is clearly visible in the background behind the man and his vehicle.","After the man leaves the room and the building shown in the context, he is seen standing in a different outdoor location. What large structure is visible in the background across the body of water?",A Ferris wheel,An illuminated arched bridge,A tall clock tower,A lighthouse,A large sports stadium
3034_IDES_OF_MARCH/segment_0017.mp4,"Question:
What prominent architectural structure, shown in the earlier wide shot of the riverfront, is visible in the background as the two men sit on the bench?

A. A suspension bridge
B. A stone lighthouse
C. A clock tower
D. A large windmill
E. A Ferris wheel

Correct Answer: A

Rationale:
The context provides a wide shot of the riverfront area that prominently features a large suspension bridge with stone towers spanning the water. In the target scene, when the man from the car arrives at this location and sits on a bench with another man, the same bridge is clearly visible in the background.","What prominent architectural structure, shown in the earlier wide shot of the riverfront, is visible in the background as the two men sit on the bench?",A suspension bridge,A stone lighthouse,A clock tower,A large windmill,A Ferris wheel
3034_IDES_OF_MARCH/segment_0005.mp4,"Question:
In the target scene, what is the man who was previously seen reading a folder on a private jet doing?

A. Talking on a mobile phone in front of an airport
B. Standing at a podium and delivering a speech
C. Sitting on a bed while a woman ties his necktie
D. Typing on a laptop while sitting with other men
E. Carrying a bag while boarding a private airplane

Correct Answer: B

Rationale:
In the target scene, the man is shown standing on a stage behind a podium with several microphones, speaking and gesturing to a large crowd of people in an auditorium.","In the target scene, what is the man who was previously seen reading a folder on a private jet doing?",Talking on a mobile phone in front of an airport,Standing at a podium and delivering a speech,Sitting on a bed while a woman ties his necktie,Typing on a laptop while sitting with other men,Carrying a bag while boarding a private airplane
3032_HOW_DO_YOU_KNOW/segment_0032.mp4,"Question:
After the embrace between the man in the dark suit and the woman in the blue dress, where do they go to sit down?

A. On the steps of the brick building they were standing in front of.
B. On a bench inside the glass-walled shelter at the bus stop.
C. On the balcony where the older man was previously watching them.
D. Into the revolving doors of the hotel entrance.
E. On a stone ledge next to a small tree.

Correct Answer: B

Rationale:
In the target scene, the couple walks over to the bus stop's glass shelter and sits down together on the metal bench located inside it.","After the embrace between the man in the dark suit and the woman in the blue dress, where do they go to sit down?",On the steps of the brick building they were standing in front of.,On a bench inside the glass-walled shelter at the bus stop.,On the balcony where the older man was previously watching them.,Into the revolving doors of the hotel entrance.,On a stone ledge next to a small tree.
3032_HOW_DO_YOU_KNOW/segment_0004.mp4,"Question:
What vegetable, which was shown being placed into a glass during the drink preparation, is the man seen smelling and pouring liquid over?

A. A carrot
B. A leek
C. A celery stalk
D. A scallion
E. A cucumber strip

Correct Answer: C

Rationale:
In the context, the man is seen placing a stalk of celery into a glass. In the target scene, he is seen pouring a red mixture and then a clear liquid into a glass containing the celery, which he also leans in to smell.","What vegetable, which was shown being placed into a glass during the drink preparation, is the man seen smelling and pouring liquid over?",A carrot,A leek,A celery stalk,A scallion,A cucumber strip
3032_HOW_DO_YOU_KNOW/segment_0030.mp4,"Question:
In the target scene, who does the man from the previous dinner scene greet before he goes to talk to the woman?

A. A woman in a leopard-print dress
B. A group of women admiring a bracelet
C. A man in a light-colored suit
D. A waiter carrying a bottle of wine
E. A man in a brown leather jacket

Correct Answer: C

Rationale:
At approximately 01:19, the man who was previously seen at the dinner table is shown shaking hands and briefly speaking with a man wearing a light-colored suit before he continues through the party to find the woman.","In the target scene, who does the man from the previous dinner scene greet before he goes to talk to the woman?",A woman in a leopard-print dress,A group of women admiring a bracelet,A man in a light-colored suit,A waiter carrying a bottle of wine,A man in a brown leather jacket
3032_HOW_DO_YOU_KNOW/segment_0015.mp4,"Question:
Which of the woman's belongings does the man, who was earlier shown wearing a dark suit jacket in the apartment, pick up once he reaches her outside?

A. A small brown shoulder bag
B. A rolling suitcase
C. A large blue bag with white lettering
D. A silver flip phone
E. A black leather portfolio

Correct Answer: C

Rationale:
Upon reaching the woman and the doorman on the sidewalk, the man (who was previously seen in the apartment wearing a dark suit jacket) picks up the large blue bag that has ""VIRGINIA"" printed on it in white text.","Which of the woman's belongings does the man, who was earlier shown wearing a dark suit jacket in the apartment, pick up once he reaches her outside?",A small brown shoulder bag,A rolling suitcase,A large blue bag with white lettering,A silver flip phone,A black leather portfolio
3032_HOW_DO_YOU_KNOW/segment_0029.mp4,"Question:
While the woman is opening the gift wrapping at the dinner table, what is she wearing on her left wrist?

A. A gold bracelet
B. A black digital watch
C. A silver-colored watch with stones
D. A red ribbon
E. A leather-strapped watch

Correct Answer: C

Rationale:
In the target scene, as the woman pulls a yellow container out of the wrapping paper, a silver-toned watch with a band decorated with small stones is clearly visible on her left wrist.","While the woman is opening the gift wrapping at the dinner table, what is she wearing on her left wrist?",A gold bracelet,A black digital watch,A silver-colored watch with stones,A red ribbon,A leather-strapped watch
3032_HOW_DO_YOU_KNOW/segment_0010.mp4,"Question:
Where is the man who was initially seen behind the serving window located when he sits down to talk to the woman?

A. Inside the crowded living room
B. In a car parked on the street
C. On an outdoor patio under an awning
D. At a desk in a dark office
E. Standing in a kitchen hallway

Correct Answer: C

Rationale:
In the target scene, the man is shown walking out from the indoor area where the food was being served to an outdoor patio. He then sits down at a table with the woman under a striped awning while it is raining.",Where is the man who was initially seen behind the serving window located when he sits down to talk to the woman?,Inside the crowded living room,In a car parked on the street,On an outdoor patio under an awning,At a desk in a dark office,Standing in a kitchen hallway
3032_HOW_DO_YOU_KNOW/segment_0009.mp4,"Question:
What is the man with glasses doing in the target scene?

A. Sitting on a couch watching a game on television.
B. Walking through a large lobby with another man.
C. Standing outside a building with a doorman.
D. Walking up a set of stairs.
E. Entering an apartment room.

Correct Answer: B

Rationale:
In the target scene, the man with glasses is shown walking through a large indoor hall with high ceilings and a directory board, accompanied by another man in a suit. He is then seen sitting on a bench with the same man.",What is the man with glasses doing in the target scene?,Sitting on a couch watching a game on television.,Walking through a large lobby with another man.,Standing outside a building with a doorman.,Walking up a set of stairs.,Entering an apartment room.
3032_HOW_DO_YOU_KNOW/segment_0031.mp4,"Question:
In the target scene, what is the man who approached the blonde woman after the first man left the gathering doing?

A. He is walking alone past a glass shelter on a sidewalk.
B. He is embracing the blonde woman.
C. He is talking on a phone while standing on a balcony.
D. He is opening a door to an apartment.
E. He is sitting on a bench at a bus stop.

Correct Answer: B

Rationale:
In the target scene, the man in the light-colored suit (who approached the woman in the context after the man in the dark suit departed) is shown holding her in a long hug. Other actions, such as walking past a glass shelter or talking on a balcony, are performed by different men shown during the same target scene.","In the target scene, what is the man who approached the blonde woman after the first man left the gathering doing?",He is walking alone past a glass shelter on a sidewalk.,He is embracing the blonde woman.,He is talking on a phone while standing on a balcony.,He is opening a door to an apartment.,He is sitting on a bench at a bus stop.
3032_HOW_DO_YOU_KNOW/segment_0006.mp4,"Question:
After checking the national team roster on her computer, what is the woman doing while looking into a bathroom mirror?

A. Brushing her hair with a round brush
B. Washing her face with a sponge
C. Brushing her teeth with an electric toothbrush
D. Applying a facial mask
E. Flossing her teeth with string floss

Correct Answer: C

Rationale:
The woman is shown in the bathroom holding a vibrating electric toothbrush to her teeth while looking at her reflection in the mirror.","After checking the national team roster on her computer, what is the woman doing while looking into a bathroom mirror?",Brushing her hair with a round brush,Washing her face with a sponge,Brushing her teeth with an electric toothbrush,Applying a facial mask,Flossing her teeth with string floss
3032_HOW_DO_YOU_KNOW/segment_0003.mp4,"Question:
What color is the top worn by the woman who was previously seen working in the office when she enters the room at the end of the video?

A. Purple
B. White
C. Black
D. Red
E. Yellow

Correct Answer: C

Rationale:
In the target scene, the woman (identifiable as the office worker from the context) is seen walking into the living room wearing a sleeveless black top, which differs from the purple garment she wore in the earlier office scenes.",What color is the top worn by the woman who was previously seen working in the office when she enters the room at the end of the video?,Purple,White,Black,Red,Yellow
3032_HOW_DO_YOU_KNOW/segment_0019.mp4,"Question:
What specific items of luggage is the woman seen with while waiting for and entering the vehicle on the street?

A. A small blue suitcase and a white handbag
B. A large grey shoulder bag and a black backpack with patches
C. Two matching brown leather travel bags
D. A yellow backpack and a black messenger bag
E. A single red rolling suitcase and a purse

Correct Answer: B

Rationale:
In the target scene, the woman is seen standing on the sidewalk with a large grey bag over her shoulder. As the vehicle arrives, she bends down to pick up a black backpack that is covered in various colorful pins and patches, which she then places into the back of the car.",What specific items of luggage is the woman seen with while waiting for and entering the vehicle on the street?,A small blue suitcase and a white handbag,A large grey shoulder bag and a black backpack with patches,Two matching brown leather travel bags,A yellow backpack and a black messenger bag,A single red rolling suitcase and a purse
3032_HOW_DO_YOU_KNOW/segment_0014.mp4,"Question:
Which part of his head is the man holding while in the elevator, corresponding to the area he struck against a lobby table in the earlier scene?

A. His chin
B. His forehead
C. His nose
D. His jaw
E. His ear

Correct Answer: B

Rationale:
In the context, the man is seen slamming his forehead against the edge of a table in the lobby. In the target scene, while standing in the elevator, he is shown holding his hand over his forehead and rubbing the same area where the impact occurred.","Which part of his head is the man holding while in the elevator, corresponding to the area he struck against a lobby table in the earlier scene?",His chin,His forehead,His nose,His jaw,His ear
3032_HOW_DO_YOU_KNOW/segment_0028.mp4,"Question:
What item is given to the woman who was earlier seen watching a movie on a television?

A. A white plate
B. A glass of water
C. A small blue box
D. A wooden crate
E. A pair of shoes

Correct Answer: C

Rationale:
In the final moments of the scene, the man in the light-colored suit pulls a small drawer out from the bottom of a chair and hands a small blue box to the woman.",What item is given to the woman who was earlier seen watching a movie on a television?,A white plate,A glass of water,A small blue box,A wooden crate,A pair of shoes
3032_HOW_DO_YOU_KNOW/segment_0023.mp4,"Question:
What is the man who was previously seen wearing a suit and tie doing?

A. Traveling on a bus while looking out the window.
B. Sitting on a red sofa with a patterned blanket.
C. Operating a laptop computer while sitting at a desk.
D. Standing in the bleachers and cheering at a game.
E. Shaking hands with players on a softball field.

Correct Answer: C

Rationale:
In the target scene, the man who was earlier shown in a suit is now wearing a plaid shirt and is clearly visible typing on a laptop at a desk. The other options describe actions performed by different people introduced during the context.",What is the man who was previously seen wearing a suit and tie doing?,Traveling on a bus while looking out the window.,Sitting on a red sofa with a patterned blanket.,Operating a laptop computer while sitting at a desk.,Standing in the bleachers and cheering at a game.,Shaking hands with players on a softball field.
3032_HOW_DO_YOU_KNOW/segment_0027.mp4,"Question:
How does the person driving the bus that the woman enters after talking to the man near the bench compare to the driver of the very first bus she boarded?

A. The driver is the same person.
B. The driver is a different man with lighter skin.
C. The driver of the final bus is a woman.
D. The driver is the man who was previously sitting with her on the bench.
E. There is no one in the driver's seat of the final bus.

Correct Answer: B.

Rationale:
In the target scene, the driver shown behind the wheel is a fair-skinned man, which is different from the black man who was driving the first bus seen earlier in the context.",How does the person driving the bus that the woman enters after talking to the man near the bench compare to the driver of the very first bus she boarded?,The driver is the same person.,The driver is a different man with lighter skin.,The driver of the final bus is a woman.,The driver is the man who was previously sitting with her on the bench.,There is no one in the driver's seat of the final bus.
3032_HOW_DO_YOU_KNOW/segment_0022.mp4,"Question:
Where is the pillow with the crab design located when the older man sits down next to the younger man on the red couch?

A. On the floor between the two men.
B. On the couch to the side of the younger man.
C. Under the older man's feet.
D. On the coffee table.
E. On the armrest of a different chair.

Correct Answer: B

Rationale:
At 01:13, the older man stands up and moves to sit on the red couch where the younger man is already seated. The pillow with the crab design, introduced earlier in the context, is clearly visible on the couch to the side of the younger man.",Where is the pillow with the crab design located when the older man sits down next to the younger man on the red couch?,On the floor between the two men.,On the couch to the side of the younger man.,Under the older man's feet.,On the coffee table.,On the armrest of a different chair.
